meaning_ru,id,Bagvalal (Magomedova 2004),Bagvalal (Magomedova 2004) bor,"Botlikh (Saidova, Abusov 2012)","Botlikh (Saidova, Abusov 2012) bor",Godoberi (Saidova 2006),Godoberi (Saidova 2006) bor,"Karata-Tukita (Magomedova, Khalidova 2001)","Karata-Tukita (Magomedova, Khalidova 2001) bor",Botlikh (Alekseev 2006),Botlikh (Alekseev 2006) bor,"Akhvakh (Magomedova, Abdulayeva 2007)","Akhvakh (Magomedova, Abdulayeva 2007) bor",Andi (Salimov 2010),Andi (Salimov 2010) bor,"Tokita (Magomedova, Khalidova 2001)","Tokita (Magomedova, Khalidova 2001) bor",Chamalal (Magomedova 1999),Chamalal (Magomedova 1999) bor,Tindi (Magomedova 2003),Tindi (Magomedova 2003) bor,n_languages
дерево,1,РÓША,native,ру́ш/а,native,РУ́Ш/А,native,РО'ША,native,ру́ша,native,ру'ша,native,КЬЕТӀУР,native,,,ВО́ГЬА,native,РÓГЬА,native,9
десна,1,ГЬАМÁЛА,native,та́м/у,native,ТÁМ/А,native,ДАБИ',native,та́му,native,ке'ке,native,ТОМИЛ,native,,,ТАМЕ,native,ХАМÁЛА¹,native,9
длинный,1,Б/ЕX̄АЛÁ/Б,native,б/еххи́ла,native,Б/ЕХХИ́ЛА,native,Б/ЕРХЪЕ'ХЪА/Б,native,б=еххи́ла,native,б/а'х̄ада/б/е,native,ЛАГУКЪӀОН,native,,,БЕХ̅И́ЛАБ,native,Б/ЕX̅АЛÁ/Б,native,9
дочь,1,ЙАШ,native,йе́ши,native,ЙАШ/И́,native,ЙАШЕ'¹,native,йе́ши,native,йа'ше,native,ЙЕШИ,native,,,ЙАГЬ,native,ЙÀГЬА,native,9
жажда,1,ГЬАᴴКЪÁЛАР,native,гьанкъаса́р,native,ГЬАНКЪАСИ́Р,native,ГЬАᴴКЪЕ'ЖАР,native,гьа́нкъасир,native,аᴴкъе'же,native,ГЬАНКЪО,native,,,ГЬА̀ᴴКЪА,native,ГЬАᴴКЪÁЖАР,native,9
жаловаться,1,ЗИГÁРДИ/ЛА,native,зигари́ла/лъи,native,ЗИГЯ́РИСИ,native,ЗИ'ГАР/А¯ЛЪА,native,гIа́рзиса р=а́гьи,arab,гIазадило̄/рулъIа,native,ЗИНЗИДУНЖУ,native,,,ЗИГА́РИ̅ЛА,native,ЗИГÁР/ӢЛЪ’А,native,9
желчь,1,̄СИМ,native,сси́м/и,native,ССИ́М/И,native,С¯ИМЕ'¹,native,сси́ми,native,с̄и'ми,native,ССИМ,native,,,СИМ,native,С̅И́МИ,native,9
жеребец,1,БАРТ,native,ба́рти,native,БÁРТИ,native,БАРТИ',native,айгъи́р,native,бати',native,БАРТИ,native,,,БАРТ,native,БÁРТИ,native,9
затылок,1,ГЪВÁНЩА,native,гъва́нщ/а,native,ГЪВАНЩÁ,native,ГЪВАИЩ/А',native,гъва́нща,native,гъваᴴ'ща,native,ХЕРТО,native,,,ГЬО̀ДУЛ,native,ХÓЛУ,native,9
зеркало,1,МАТÍУ,native,ма́тI/у,native,МАТIУ́,native,МАТ|У',native,ма́тIу,native,матIу',native,МАТӀУ,native,,,ПАПАЛ,native,МАТIУ́,native,9
зурна,1,З́УРМА,pers,зурм/а́,pers,ЗУРМÁ,pers,ЗУ'РМА,pers,зурма́,pers,зума',pers,ЗУНУРА,pers,,,ЗУ̀РМА,native,ЗУ̀РМА,pers,9
карандаш,1,КЪАЛÁМ,arab,къалам,arab,КЪАЛÁМ,arab,КЪАЛА'М,arab,къала́м,arab,къала',arab,КЪГАЛАМ,arab,,,КЪАЛАМ,native,КЪАЛÁМ,arab,9
ключ,1,РÉКIУЛ,native,рекIу́/л,native,РЕКIУ́/Л,native,РЕК|У'Л,native,рекIу́\л,native,рикIа'лIи,native,РЕКӀУЛ,native,,,ЙИКIУЛ,native,РИ́КI’А,native,9
кобыла,1,́ИЧ/О,native,и́ч/у,native,И́ЧА,native,И'ЧВ/А,native,гIала́,native,и'чо,native,ИЧА,native,,,ИША,native,И́ЧВА,native,9
ковер,1,ТIÁН̄СА,native,тIа́мсс/а,native,ТIАНССÁ,native,Т|АᴴС¯А',native,тIа́мсса,native,тIаᴴ'с̄а,native,ТӀАМССА,native,,,ТIАМСА,native,ТIÁᴴВС̅А,native,9
колено,1,НИКВ,native,ну́к/у,native,НУК/У́,native,НУКУ',native,ну́ку,native,мукъIу',native,НИКОЛУЛӀИКЪИНИЛ,native,,,НИКВАЛ,native,НЍКУ,native,9
копейка,1,КIЕБÉКI,rus,капе́к,rus,КЕПÉК/И,rus,КАПЕ'К,rus,капе́ки,rus,кIебе'кIи,rus,КЕПЕККИ,rus,,,КЕБЕК,native,КIЕБÉКIИ,rus,9
крапива,1,МИЩI,native,бе́гьара,native,БÉЛЪИРА,native,МИЧ¯|И',native,бе́гьара,native,хече',native,МИЧӀЧӀИ,native,,,МИСI²,native,МИ́Ч̅А,native,9
кроить,1,Б/ÉIУЛА,native,белIутI/и́,native,Б/ЕЛIУТIИ́,native,Б/Е'Л|УТ|/АЛЪА,native,белIути́,native,б/елIутIу'/рулъIа,native,БУКЪОЛЛУ,native,,,БЕ́ЛIУТIЛА,native,Б/ÉЛIУТI/ИЛЪ’А,native,9
лев,1,ГЪÁЛБАЦI,native,гъа́лбацI,native,ГЪÁЛБАЦI/И,native,ГЪАЛБА'Ц|,native,гъа́лбацI,native,гъа'бацIе,native,ГЪАЛБАЦӀИ,native,,,ГЪА́ЛБАЦI,native,ГЪÁЛБАЦI/И,native,9
лекарство,1,ДАРМÁН²,pers,дар/у́,pers,ДАР/У́,pers,ДАРУ',pers,дару́,pers,дару',pers,ДАРМАН,pers,,,ДАРВ,pers,ДÀРУ,pers,9
лениться,1,КIВАХIÁЛГЬИ/ЛА,native,кIвахIал/и́,native,КIВАХIАЛЛЪИ́,native,К|ВАХ|А'ЛКЬ|/АЛЪА,native,кIвахIали́,native,кIвахIа'лъило̄/рулъIа,native,ЛАННУ,native,,,КIВАХIАЛЛЪЛА,native,КIВАХIÁЛЛЪ/ИЛЪ’А,native,9
лес,1,РÓХЬ/РОХ,native,ру́хь/у,native,РУ́Ш/А,native,РО'ХЬО,native,ру́хьу,native,ру'ша,native,РЕШУ,native,,,ВО́ГЬА,native,РÓГЬА,native,9
лягушка,1,КЪОРКЪ,native,къу́ркъ/у,native,КЪУРКЪУ́,native,КЪО'РКЪО¹,native,къу́ркъу,native,ко'къо,native,КЪУРРУ,native,,,КЪУᴴКЪ,native,КЪÓКЪУ,native,9
материнство,1,́ИЛАЛГЬАР,native,и́лалъи,native,И́ЛАЛЪИР,native,И'ЛЙАЛЪЕР,native,и́лалъи,native,и'лалъе,native,ИЛАЛЪИР,native,,,И́ЛАЛЪИ,native,И́ЛАЛЪАР,native,9
мать,1,́ИЛА,native,и́л/а,native,И́Л/А,native,ИЛЙА',native,и́ла,native,ба'ба,native,ИЛА,native,,,И́ЛА,native,И́ЛА¹,native,9
молозиво,1,̄С̄IЕР¹,native,цIцIи́ра,native,ЦЦИРÁ,native,Ц¯|ЕРЕ'¹,native,пе́ркьу,native,цĪи'ри,native,ЦӀЦӀИРУ,native,,,СIЕДВ²,native,Ц̄Ē¹,native,9
моча,1,ГЬЕКIВ,native,биччуку́р,native,ГЬИККУ́,native,ЖУЖУ',native,беччику́р,native,ча'кĪи,native,ГБИНКӀКӀУР,native,,,ГЬЕКIВ¹,native,РÀЛЪА,native,9
мяукать,1,М́ИГIД/УЛА/М́ИГIДИ/ЛА,native,мийе́ла/лъи,native,МИУДИ́,native,МИЙАВ/ЛЪА',native,мийелалъи́,native,ми'йу/нулъIа,native,МЙАВДУ,native,,,МИЙАВУЛА,native,МИЙÁЙ/ИЛЪ’А,native,9
наковальня,1,РАЧ,native,эху́нлъа,native,ЛÁБЧИ,native,РА'ЧЕЛ,native,рач,native,ра'чи,native,РАЧИ,native,,,РАЧ,native,РÁЧ̅И²,native,9
например,1,МÁСАЛĀ,arab,ма́сала,arab,МАСАЛÁ,arab,МА'САЛА¹,arab,миса́лай ча́ла,arab,миса'лъ̄а,arab,МАСАЛА,arab,,,МАСАЛА̅,native,МÁСАЛĀ,arab,9
нигде,1,́ИНДЖИДАЛА,native,инукIва́ла,native,ЦЕХIÉЛЪО,native,ГЬИᴴГЕ'-Г|АГИ,native,инукукIва́ла,native,гьаги'лIила,native,СЕБГУЛОЛЛЪЛЪУ,native,,,ИКЬАᴴДАЛА,native,ИНИ́ЙĀ,native,9
нож,1,БЕС́УН,native,бесу́/н,native,БЕСУ́Н,native,БЕСУ'Н,native,бесу́н,native,мешу',native,БЕСУН,native,,,БЕСУ́ᴴ,native,БЕСУ́Н,native,9
нос,1,МÉГIЕЛ,native,ми́ар,native,МИ́ГЬАР,native,МИ'Г|АР,native,ми́ъар,native,ми'гIа,native,МАГЬАР,native,,,МА̅Й,native,МИ́ЙАР,native,9
одеяло,1,АДИЙÁЛ,rus,адийа́л,rus,АДИЙÁЛ,rus,А'ДЙАЛ,rus,адийа́л,rus,ади'йа,rus,ЙУРГЪАН,native,,,АДЙА́Л,rus,АДЙÁР,rus,9
очаг,1,ЦIАЙ,native,ра́гъал,native,ЦIАЙИ́,native,АХЪУ'¹,native,ахъу́л,native,ахъе'ло,native,АХЪИ,native,,,ЦIА̅,native,ÀХЪУ,native,9
палец,1,ГЬИᴴЦÍИЛ,native,гьецIи́/л,native,СЕТIИ́Л,native,ЛЪИЦ|Е'Л,native,гьецIи́л,native,уᴴкIа',native,ЦӀЦӀЕКӀА,native,,,ЛЪЕЦIИЛ,native,МИ́КI’А,native,9
паук,1,Н́ИСХЪАРА,native,ну́цаххир,native,НУ́САХАР,native,Х¯АРАЗАН,native,нуца́ххир // ну́цаххир,native,хъа'хъара,native,РУХХУННИБ,native,,,ХЪОД,native,ГЬАКI’ÁТIАН/ГЬАКI’ÁТIАР,native,9
пена,1,КЬИБ¹,native,тIа́ли,native,ПАЛИ́,native,ПАЛЕ',native,тIа́ли,native,гьва'ле,native,ПОЛ,native,,,КЬИБИ́¹,native,КЬЍБА¹,native,9
передний,1,̄СĒ̄С,native,ссеассу́/б,native,ССÉБАССУ,native,С¯ИГИ'С¯,native,ссе́ссуб,native,с̄и'гис̄е,native,ССЕДУССИ,native,,,СИ̅́НИС,native,БÁX̅АС̅А,native,9
пила,1,ХЪИХЪВÁНИБ,native,хъухъа́дир,native,ХЪУХЪÁТIУР,native,Х¯ЕРДО'/Б,native,хъу́хъадир,native,хъихъва'тIиро,native,ХЪУХЪАДИР,native,,,ХОХАТУР,native,ЧIАРÁX̅УН,native,9
подушка,1,КЪÉГЬЕН,native,та́гьара,native,ТАРГЪ/ВÁ,native,КЪЕЛЪИ'Н,native,та́гьара,native,къIеᴴ'лъIе,native,КЪЕЛЪИН,native,,,ТАРПА,native,Э́ХАН,native,9
походка,1,БÉЛЪАР–БĀР,native,б/елIахва́р,native,Б/ЕЛIИ́Р,native,Б/ОЛ|Е'Р²,native,велълъи́р,native,б/олIе',native,РЕЛӀИР,native,,,ЙЕЛIЕ,native,СОРДÁР,native,9
право,1,ИХТИЙÁР,arab,ихтийа́р,arab,ИХТИЙÁР,arab,ИХТИЙА'Р,arab,ихтийа́р,arab,и'хтийа,native,ИХТИЙАР,arab,,,ИХТИЙАР,native,ИХТИЙÁР,arab,9
пророк,1,АВÁРАГ,?,ава́раг,?,АВАРÁГ,?,АВА'РАГ,?,ава́раг,?,ава'ракIе,?,АВРЕГИ,?,,,АВА́РАГ,?,АВÁРАГ’А,native,9
пуля,1,КЪÁТIАЛ,native,гулл/а́,native,ГУЛЛ/Á,native,ГУЛ¯/А',native,гулла́,native,гу'л̄а,native,ГУЛА,native,,,КЪАРАИВ,native,КЪАТIÁЛ,native,9
рабочий,1,ХIАЛТÍУХЪАН,native,хIа́лтIухъа/н,native,ХIÁЛТIУХЪАН,native,"Х|А'ЛТ|УХЪАН ,",native,рабо́чи,rus,хIа'лтIухъа,native,ГЬАЛТӀУХЪАН,native,,,ХIАЛТIУХЪАᴴ,native,ХIАЛТIУ́ХЪАН,native,9
рис,1,ПУЛÁВ,pers,пол/о́,native,ПУЛÓ,pers,ПУЛА'В,pers,поло́,native,гьуло',native,ПИРИНЧӀИ,pers,,,ПОЛО̅,pers,ПУЛÁВ,pers,9
рубашка,1,ГУР,native,жи́ла,native,ХÉЛ/У,native,ГО'РД/И,native,жи́ла,native,кьIоᴴ'ко,native,ГУРД О,native,,,КIАЧ,native,КIÁЧИ,native,9
рукав,1,КВАX̄́ИЛ,native,ква́х/а,native,КВÁХ/А,native,КВА'ХА,native,ква́ха,native,квах̄е',native,КОЛЛО,native,,,КВАХА,native,КВАX̅ÁЛ,native,9
саван,1,М́УСУР,native,му́сру,native,МУСУРУ́,native,МУСРУ',native,мусру,native,мушу',native,МУСРУ,native,,,МУСУР,native,МУ̀СУР,native,9
свинец,1,ТIОЩ¹,native,тIу́ши,native,ТIУШИ́,native,Т|ОШЕ',native,тIу́рши,native,тIоша',native,ТӀУШИ,native,,,ТIОГЬА¹,native,ТIÓГЬА¹,native,9
свинья,1,БОЛГЬÓН,native,болъо́/н,native,БОЛЪÓН,native,ДУ'ᴴГЪУЗ,native,болъо́н,native,болъо',native,ДОНГЪУЗИ,native,,,ДУᴴГЪУ́З,native,БОЛЪÓН,native,9
семьдесят,1,ГЬÁКЬВАЦIА,native,гьакьуцIа́лида,native,ГЬАКЬУЦIÁЛИ,native,ГЬАКЬВА'Ц|,native,гьакьуцIа́йда,native,лъIакъеᴴ'доъачIа,native,ГЬОКЬУЩОЛГУ,native,,,АКЬВАЦIА́ДА,native,ГЬАКЬВАЦIÁЙА,native,9
сера,1,ПӢС̄I,native,чIаба́тIи,native,ЧIАБÁТIИ,native,БИЦ¯|И',native,чIаба́тIи,native,чIаба'тIи,native,ЧӀАББАТӀИ,native,,,БИС̅I̅,native,ЧIАБÁТIИ,native,9
сказка,1,М́УГЬА,native,му́х/а,native,НУ́ХА,native,МУГЬА'¹,native,му́ха,native,му'ха,native,МУХА,native,,,МУХА,native,МУ́ХА,native,9
снег,1,АᴴЗ,native,а́нзи,native,АНЗИ́,native,АᴴЗЕ',native,а́нзи,native,аᴴжи',native,АНЗИ,native,,,АᴴЗ¹,native,ÁᴴЗИ,native,9
тень,1,АᴴЩВ,native,а́нчч/у,native,ГЬАНЧЧУ́,native,АᴴЧ¯У'²,native,а́нччу,native,гьуᴴ'гьу,native,АНЧЧУ,native,,,АᴴЦВ,native,ÁᴴЧ̅У,native,9
тесто,1,ГЬАТI,native,гьа́тIи,native,ГЬАТIИ́,native,ГЬАТ|Е',native,гьа́тIи,native,атIа'лIи,native,ГЬАНТӀИ,native,,,ГЬАТI,native,ГЬÁТIА,native,9
топор,1,АᴴЖ́ИТВ,native,ку́ртI/а,native,КУРТI/Á,native,АᴴЖИТ/О',native,ку́ртIа,native,аᴴжите',native,АНЖИДИ,native,,,КОТIА,native,КÓТIА,native,9
утром,1,РАГЬАЛ̄Ъ́И,native,ахакьу́ссу,native,РАХАКЬИ́,native,РАГЬА'ДА,native,ахакьу́ссу,native,митакъа'ли,native,ОХХОДДОРО,native,,,СЕТIКIУЛЕ,native,РАХḖЧ̅У/РАХĀ́Ч̅У,native,9
цемент,1,̄СИМ́ИТ/̄СИМÉТ,rus,це́мент,native,ССИМИ́ТИ,rus,С¯ИМИ'Т,rus,сси́митка,native,с̄ими'ти,rus,ССЕМЕТИ,rus,,,СИМИ́Т,native,С̅ИМИ́ТИ,rus,9
черепаха,1,РАКЬÁКЪОРКЪ,native,щуру́нкъверкъ,native,ЩУРУ́НКЪВЕРКЪ,native,ЩУРУ'М-КЪОРКЪО,native,щуру́н-къверкъ,native,иᴴчIе̄'лIикокъо,native,ХХИНЛӀИ КЪУТРУ,native,,,ХОРЛIАДИ,native,РÁКЬИЛΙАКЪОКЪУ,native,9
черный,1,Б/ЕЧIЕТÍУ/Б,native,б/ечI/е́р,native,Б/ЕЧIÉР,native,Б/ЕЧ|Е'Т|ИРО/Б,native,б=ечIе́р,native,б/ачIи'да/б/е,native,БЕЧӀЕДИР,native,,,БЕЧIА́ТIУБ,native,Б/ЕЧIАТIУ́/Б,native,9
шаг,1,ГÁЛА,native,га́л/и,native,ГИЛЛИ́,native,ГАЛ/Е',native,га́ли,native,га'ли,native,ГАЛИ,native,,,ГЕЛ,native,ДÁЛИ,native,9
шея,1,ДЖАРВ,native,га́р/у,native,ГЯРУ́,native,ГАР/У',native,га́ру,native,кIо'ли,native,ГАРУ,native,,,ДЖА̅ЙЛIВ,native,Г’ÀРУ¹,native,9
шило,1,ГЬИМ²,native,гьи́м/и,native,ГЬИМ/И,native,ГЬИМУ'¹,native,гьи́ми,native,гьи'ми,native,ГЬИМУ,native,,,ГЬИМ²,native,ГЬЍМИ²,native,9
шумовка,1,Х́ИНЧIАХУР/Х́ИНЧIАX̄УР,native,ххи́нкIаххул,native,КIЯ́РДАХХУ,native,Х¯И'ᴴК|АБАХ¯У,native,ххинкIеххул,native,х̄иᴴ'кIе̄хъе,native,КЪИННИЛАХХУБ,native,,,ХИᴴЧIБАКЪВ,native,ГЪОЙX̅ÁН,native,9
аминь,1,ÁМИН,native,а́мин,native,АМИ́Н,arab,А'МИН,arab,а́мин,native,ами'ни,arab,АМИН,arab,,,А́МИН,native,,,8
ангел,1,,,мала́ик,arab,МАЛÁИК,arab,МАЛА'ЙК,arab,мале́к,arab,мале̄'ке,arab,МАЛАЙКИ,arab,,,МАЛЕК,native,МАЛÁЙКА,arab,8
араб,1,ГIАРАБ́ИЙАВ,arab,гIараби́йав,arab,ГIАРÁБИЙА/В,arab,Г|А'РАБИЙАВ,arab,гIарабав,arab,гIараби'йа,arab,,,,,ГIАРАБИ́ЙО,arab,ГIАРАБḖВУ,arab,8
бабочка,1,,,саса́кI/у,native,СИ́СИКIЯН,native,ДИ'ДИН,native,саса́кIу,native,кĪу'жара,native,ПИРИНПА,native,,,САЙТIА,native,КIУ́РКIУЛА,native,8
барбарис,1,САН,native,са́ни,native,САНИ́,native,СА'НЕ,native,сани,native,ша'ни,native,,,,,САН²,native,СÁНИ,native,8
бегать,1,ТIАТIÁДИ/ЛА,native,чуᴴгьата/лъи́,native,ТIАРИ́,native,Х¯ВАᴴХ¯ВА¯'/ЛЪА,native,чугьи́,native,б/етету'/рулъIа,native,,,,,ТIА̅ЛА,native,ТIÁТI/ИЛЪ’А,native,8
белорусы,1,БЕЛАР́УСАД/И,rus,белару́сал,rus,БЕЛАРУ́СИЙА/Л,rus,БЕЛАРУ'САДИ,rus,белару́са=л,rus,белару'со,rus,,,,,БЕЛАРУ́САЛИ,rus,БЕЛАРУ́С/ĀЙИ,native,8
белый,1,ГЬАЦIÁ/Б,native,гьа́цIахха,native,ГЬАЦIÁ,native,ГЬАЦ|А'/Б,native,гьа́цIаха,native,б/аши'да/б/е,native,ГЬАЦӀА,native,,,,,ГЬАЦIÁ/Б,native,8
беседа,1,X̄АБÁР–ЧIАБАР,arab,ххаба́р-чIаба́р,arab,ХХАБÁ-ЧIАБАР,arab,Х¯АБА-Ч|АБА'Р,arab,ха́ба-чIа́бар,arab,х̄аба',arab,КЪАМАЛ,native,,,ХАБА-ЧIАБАР,arab,,,8
бинокль,1,ДОРАН̄́ЕБИ,native,дурн/а́,native,ДУ́РМАЛ,native,ДУРУᴴД/И',native,дурна́балъи,native,,,ДУРМАЛ,native,,,ДОРНИ́ЙА,native,ДÓРАН,native,8
борозда,1,РЕХЪ́ИН,native,ми́хъ/и,native,РЕХЪИ́Н,native,РЕ'ХЪИН,native,,,рахъе',native,РОХЪИ,native,,,ЙЕХЪИᴴ,native,ТЕХЪÉН,native,8
брат,1,ВА̄С,native,ва́цц/и,native,ВАЦЦ/И́,native,ВАЦ¯/И',native,,,вац̄и,native,АЦЦИ,native,,,ВАЦ,native,ВÁЦ̄ĀБ,native,8
буква,1,ХIАРП,native,,,ХIÁРПУ,arab,Х|АРП/Е',native,хIарп,arab,хIа'пи,arab,ГЬАРПИ,arab,,,ХIАРП,arab,ХIÁРПИ,arab,8
бурка,1,Б́УТУНА,native,бу́рти/на,native,БУ́РТИНА,native,БУ'РТИНЙА,native,бу́рти\на,native,,,БУРТИНА,native,,,БО́ТУᴴ,native,БУ́ТУНА,native,8
бычок,1,ГЬАНÁ,native,гъа́йчI/а,native,ГЪАДАЧI/Á,native,ГЪА'ЙЧ|/А,native,гъайчIа,native,бу'ша,native,КЪИННОМ,native,,,,,БÓГЬА,native,8
в этом году,1,ЭШ́ИНА,native,гьерши́на,native,ГЬЕРШИ́НА,native,ЭРЕ'ШИНА,native,,,жереше,native,ЖЕРЕШИНА,native,,,ЙАГЬИ́НА,native,ГЬЕРАГЬИ́НА,native,8
вата,1,ПАМПÁ,native,пампа́,native,ПАМПÁ,native,ПАМПА',native,пампа́,native,гьваᴴгьва',native,,,,,ПАМПА,native,ПÁМПА,native,8
вдовец,1,КЪОРÓЛАВ,native,къоро́л/ав,native,КЪОРÓЛ/О,native,КЪОРОЛА'В,native,къоро́лав,native,къоро'ла,native,,,,,КЪОРОЛО,native,КЪОРÓЛАВ,native,8
верблюд,1,ВАРÁН,native,гъвара́н/у,native,ГЪВАРÁН/И,native,ВАРА'Н,native,гъвара́ну,native,вара'ни,native,ГЪВАНАРИ,native,,,,,ВАРÁН²,native,8
веретено,1,М́УНГ/А/М́УНГВА,native,ми́ргв/а,native,МИ́НГВА,native,,,ми́ргва,native,ма'гва,native,МИГВА,native,,,МИНА,native,МУ́ᴴГА,native,8
ветвь,1,ГЬÁЛА,native,гьа́л/а,native,,,ГЬА'ЛА,native,гьа́ла,native,гьа'ла,native,АНГА,native,,,ГЬА̀ЛА,native,ГЬÀЛА¹,native,8
вещь,1,ОДÓБ²,native,на́:,native,ДАᴴЙИ,native,,,на,native,чу'ла,native,ДАН,native,,,ДА̅ᴴ¹,native,ЭЙĀ́,native,8
взятка,1,РИШВÁТ,arab,магъа́лу,native,РИШВÁТ/И,arab,,,ришбат,arab,рищва'те,arab,РИШВАТИ,arab,,,РИЩВАТ,arab,РИШВÁТИ,arab,8
вишня,1,ДЖÁГА,native,жа́г/а,native,ЖАГЯ́,native,,,жа́га,native,джийа',native,ЖАГА,native,,,ДЖА̀ГА,native,ДЖÀГА,native,8
волк,1,БÁЦIА,native,ба́цI/а,native,БАЦI/Á,native,БА'Ц|/А,native,ба́цIа,native,бачIа',native,,,,,БА̀ЦIА,native,БÀЦI/А,native,8
